Temperatura (°C),pH,Tempo (h),Glicose (g/L),Agitação (rpm),Tipo de Fermentador,Operador Responsável,Rendimento Etanol (%)
32.33,4.18,44.5,199.5,142.6,Tipo-B,Ana,48.82
36.56,5.9,45.0,9999.0,118.1,Tipo C,bruno,52.0
,4.52,40.0,9999.0,239.9,Desconhecido,Ana,57.73
31.69,4.67,20.2,128.9,244.4,Tipo A,Carlos,42.05
29.1,4.8,12.9,168.9,134.5,,ana,30.5
39.96,4.1,25.8,9999.0,105.6,Desconhecido,Carlos,35.79
31.39,4.99,17.1,196.8,181.7,,Bruno,31.67
31.77,4.25,,110.2,216.5,Tipo C,Ana,46.79
27.45,4.8,35.8,149.8,241.2,Desconhecido,Ana,45.51
36.92,4.7,13.6,142.8,262.0,Tipo B,Carlos,28.06
35.41,-1.0,42.1,132.6,222.1,Tipo C,ana,37.94
28.31,5.61,,164.6,122.2,Tipo A,Ana,28.6
26.24,4.31,27.6,113.1,236.5,Tipo A,,34.66
35.21,4.73,36.0,171.7,296.8,Tipo A,Desconhecido,49.01
34.82,4.75,27.5,198.1,281.1,tipo a,Carlos,51.65
,4.3,27.9,180.5,274.3,Desconhecido,Bruno,44.83
39.26,5.6,14.4,186.0,160.4,tipo a,Bruno,30.46
27.27,5.41,26.5,136.0,,Tipo B,Bruno,39.42
,4.38,39.5,132.5,270.2,Tipo C,Ana,34.64
39.15,4.73,44.9,151.7,235.7,Tipo-B,Carlos,62.23
31.3,4.21,26.9,9999.0,150.1,TIPO C,Bruno,33.29
34.58,5.26,27.2,194.5,290.8,Tipo B,Carlos,43.78
30.96,-1.0,37.3,114.4,190.2,Desconhecido,Ana,44.4
,5.97,45.9,190.3,126.0,Tipo-B,Desconhecido,55.84
39.76,5.56,21.6,108.4,122.0,,Desconhecido,34.05
,4.78,27.8,182.3,229.5,Desconhecido,Desconhecido,45.1
38.41,5.16,40.7,115.2,187.5,Tipo-B,Ana,52.95
28.45,5.82,33.9,103.8,118.9,Tipo B,Bruno,40.07
28.2,5.11,16.0,171.9,248.1,Tipo C,Ana,30.33
25.47,4.35,34.6,128.0,259.9,TIPO C,Carlos,38.97
34.78,4.76,18.7,171.4,245.1,Tipo-B,Desconhecido,34.57
30.53,-1.0,30.4,155.5,140.5,tipo a,Carlos,37.97
37.97,5.29,31.0,110.9,238.0,tipo a,Ana,46.06
32.1,5.3,43.5,193.2,102.1,Tipo B,bruno,46.42
39.52,5.73,28.6,145.2,161.0,TIPO C,bruno,42.28
27.78,5.79,22.1,173.4,179.8,TIPO C,,40.69
38.03,5.84,20.3,150.1,267.0,Desconhecido,Ana,33.66
36.65,4.19,43.5,160.4,178.1,Tipo-B,Bruno,54.41
36.56,5.09,18.2,130.3,102.3,Tipo B,ana,21.54
37.67,5.48,27.3,120.0,170.5,TIPO C,Carlos,32.39
36.42,5.51,18.7,154.3,199.8,TIPO C,Ana,33.92
34.39,5.21,39.8,144.0,289.8,tipo a,Ana,50.36
26.97,4.33,29.1,139.0,288.2,Tipo B,bruno,38.74
25.49,-1.0,24.6,167.3,136.2,Tipo-B,Desconhecido,45.12
38.81,5.44,25.0,169.1,137.0,,Desconhecido,37.32
34.25,4.17,42.7,104.6,132.7,Tipo-B,ana,48.88
36.95,4.93,31.9,9999.0,257.8,tipo a,Bruno,41.73
32.22,4.35,37.8,141.2,101.2,,Bruno,49.14
26.76,4.67,44.3,109.7,125.4,Desconhecido,ana,42.45
26.88,4.04,44.5,123.6,207.6,,Bruno,44.06
35.28,4.8,23.8,105.2,149.5,,,32.03
,5.1,46.3,199.6,118.5,Tipo A,,58.57
28.01,5.24,12.9,173.7,172.0,Tipo A,bruno,28.29
32.37,5.33,25.6,108.7,154.8,TIPO C,Ana,38.09
25.96,5.67,44.2,102.0,202.2,Tipo C,Bruno,46.55
33.73,4.43,21.9,171.9,295.8,tipo a,bruno,43.26
29.03,4.24,21.8,143.9,124.9,Tipo C,,31.34
36.96,5.7,22.9,178.7,174.5,TIPO C,Carlos,47.65
29.66,4.31,34.0,192.3,286.4,Desconhecido,Ana,51.2
31.83,5.95,27.8,159.9,275.4,tipo a,ana,31.48
25.17,5.69,,118.7,178.9,Tipo-B,Carlos,46.06
26.09,5.0,44.2,178.2,239.8,Desconhecido,Desconhecido,57.68
30.89,5.96,36.3,195.6,117.6,tipo a,Desconhecido,42.25
32.2,-1.0,19.4,9999.0,242.5,Tipo B,Ana,35.0
34.0,4.61,,168.2,294.6,,Bruno,48.0
,5.28,21.5,133.7,207.5,Tipo C,Ana,28.81
35.42,4.7,17.4,138.2,199.7,tipo a,Bruno,31.88
37.9,5.86,15.2,173.5,137.5,,ana,24.56
36.7,4.13,32.3,192.8,226.8,Tipo C,Desconhecido,45.33
25.59,5.1,16.1,162.9,218.1,Desconhecido,,32.6
32.21,5.18,17.0,179.0,230.4,TIPO C,,28.64
26.57,5.31,22.8,117.2,105.2,tipo a,Ana,25.36
28.63,4.51,22.1,121.2,209.7,Tipo A,Ana,25.3
39.8,-1.0,33.8,153.2,219.0,Tipo C,ana,53.9
27.14,5.69,41.4,117.7,,,,36.96
32.48,4.39,39.4,163.5,141.7,Tipo-B,Bruno,49.42
34.27,5.65,21.4,129.2,155.2,Tipo-B,Desconhecido,40.68
35.54,5.13,20.8,179.2,242.3,,Desconhecido,32.71
33.39,5.52,46.8,180.8,221.3,,Bruno,51.16
25.15,5.43,12.3,146.4,269.2,tipo a,ana,26.79
29.9,4.42,43.7,118.1,159.1,Tipo-B,Bruno,50.19
32.77,5.14,,164.7,282.4,,ana,32.72
26.32,5.74,46.1,199.3,248.7,Desconhecido,Bruno,50.73
30.26,4.86,24.3,162.3,179.0,Tipo-B,Desconhecido,37.41
25.5,5.93,27.9,103.6,119.1,Tipo C,Desconhecido,31.19
26.18,4.9,37.5,101.7,151.4,Desconhecido,Ana,41.25
30.95,4.29,33.2,132.0,291.4,tipo a,,52.56
26.99,4.78,23.4,119.6,162.1,Tipo C,,38.53
33.51,5.9,,181.3,166.0,tipo a,ana,47.88
35.34,4.64,38.3,184.5,137.9,Tipo-B,Desconhecido,47.75
37.01,5.74,13.5,125.9,261.4,Desconhecido,ana,21.39
28.0,-1.0,12.4,132.6,155.1,tipo a,ana,36.96
27.51,4.7,28.5,123.6,166.1,TIPO C,Carlos,34.43
26.57,4.17,16.7,190.8,182.9,tipo a,Carlos,30.55
34.55,5.45,35.9,150.3,186.7,Tipo B,Bruno,50.55
35.6,4.62,19.7,165.6,182.3,tipo a,,32.55
25.47,5.57,27.6,141.5,200.7,Tipo B,ana,40.84
39.04,4.89,19.1,163.1,262.9,Tipo C,Bruno,37.49
25.78,4.97,31.7,138.6,263.9,Tipo B,Bruno,39.6
,5.56,16.2,134.0,259.7,Desconhecido,Ana,28.32
35.64,4.76,12.8,163.4,120.2,Tipo C,Carlos,24.86
38.06,4.89,13.8,159.1,259.9,tipo a,Carlos,23.63
35.71,4.75,46.4,129.4,124.1,Tipo C,Desconhecido,68.09
37.03,4.73,17.1,114.9,124.9,Tipo-B,Carlos,39.46
30.09,5.05,37.5,136.9,289.6,TIPO C,Desconhecido,47.68
37.22,5.62,14.4,141.5,263.9,tipo a,ana,39.45
26.2,4.72,15.9,162.9,210.5,Desconhecido,Ana,36.35
38.42,5.05,30.3,191.5,275.0,Tipo B,Bruno,49.58
33.21,5.34,28.7,103.6,297.9,TIPO C,Bruno,38.91
37.26,4.54,46.3,124.4,222.1,Tipo A,ana,60.39
31.78,4.56,46.0,119.4,222.6,TIPO C,Desconhecido,57.08
34.65,5.87,40.1,150.2,250.9,,bruno,53.0
32.9,5.45,33.7,143.0,146.4,tipo a,ana,41.98
35.97,5.15,28.4,172.9,133.4,Desconhecido,Desconhecido,44.03
26.22,5.3,24.8,124.2,251.9,Desconhecido,ana,36.5
25.91,4.06,46.1,159.4,,,Ana,47.29
28.71,5.24,33.7,188.4,127.0,TIPO C,ana,45.39
27.39,5.02,32.8,191.1,163.0,TIPO C,ana,49.22
38.08,5.09,20.3,195.9,171.7,Tipo-B,Carlos,45.69
28.29,4.72,13.7,177.3,293.0,Tipo C,Desconhecido,32.13
39.64,-1.0,46.0,190.6,239.6,TIPO C,Ana,55.91
30.05,4.39,23.3,123.5,206.2,Tipo B,,38.59
27.73,5.9,27.9,119.8,293.8,Desconhecido,Bruno,32.18
36.85,4.82,16.1,100.6,280.6,,bruno,30.69
34.88,4.93,42.1,170.7,202.4,Tipo B,bruno,59.06
32.47,4.11,13.0,193.7,281.1,Tipo-B,Desconhecido,38.72
33.33,4.08,42.0,118.7,180.9,TIPO C,ana,53.78
35.79,5.43,17.1,163.7,146.1,TIPO C,Carlos,32.59
28.43,5.08,43.9,174.6,146.5,Tipo-B,ana,40.05
39.95,5.02,38.3,192.8,232.5,tipo a,Desconhecido,56.71
39.62,4.49,17.9,164.7,200.2,Tipo A,bruno,38.2
34.75,5.49,32.4,197.0,231.8,Tipo A,bruno,48.57
27.99,4.34,23.3,134.5,237.2,Tipo C,ana,26.77
35.2,4.38,18.4,135.0,104.5,Tipo B,ana,30.37
26.08,4.92,42.9,154.3,110.8,tipo a,ana,57.68
25.46,4.57,26.5,138.4,206.5,Tipo B,Bruno,30.72
28.87,4.49,26.3,100.1,138.2,tipo a,Carlos,37.95
31.94,5.29,18.1,173.2,226.5,Tipo-B,Carlos,30.33
38.02,5.3,25.8,175.2,210.4,Tipo C,,44.22
35.91,5.65,43.4,174.7,217.2,Tipo-B,,52.26
36.14,4.84,25.1,134.5,160.5,Tipo B,bruno,44.87
31.38,4.15,46.3,152.2,228.0,Desconhecido,bruno,52.48
30.19,4.55,46.1,136.0,265.9,Tipo C,Desconhecido,57.83
30.57,5.96,17.2,101.6,299.6,TIPO C,Desconhecido,39.43
39.81,5.19,18.4,9999.0,267.7,,,41.92
25.6,5.42,43.1,112.4,211.5,Desconhecido,Bruno,50.46
38.01,4.01,26.1,108.0,138.7,,bruno,42.79
33.68,5.04,12.2,175.5,236.3,tipo a,Desconhecido,33.03
31.58,4.08,,101.0,287.5,tipo a,Bruno,29.75
35.88,5.14,33.5,9999.0,142.4,Tipo C,Carlos,42.51
32.3,5.84,40.8,151.5,151.2,Tipo-B,bruno,51.24
,5.94,,198.3,129.8,Tipo C,Ana,29.77
38.51,5.08,16.0,105.8,247.3,Tipo-B,bruno,29.41
31.33,4.92,45.2,158.4,,Tipo C,Desconhecido,52.02
29.15,5.89,39.0,134.9,112.5,Tipo-B,bruno,35.5
33.89,5.35,,184.3,275.0,Tipo A,,43.19
38.69,4.13,39.7,136.1,211.5,Tipo C,Ana,45.87
28.16,4.93,27.4,126.0,166.2,,,49.58
34.34,4.48,39.3,185.8,168.8,,bruno,53.56
34.47,4.94,25.4,137.5,158.1,Tipo-B,,36.42
36.0,4.91,20.8,101.7,191.1,TIPO C,Desconhecido,31.1
26.97,5.16,38.2,139.0,167.4,Tipo B,Carlos,33.06
35.74,4.71,27.1,165.5,209.6,Desconhecido,Desconhecido,34.16
38.64,4.33,47.3,125.4,254.7,Desconhecido,Bruno,47.83
27.7,5.01,24.6,143.2,234.9,Desconhecido,,31.28
28.56,5.66,45.2,105.7,158.9,Tipo B,Desconhecido,48.93
39.57,5.33,45.6,158.8,205.7,,Bruno,55.63
,4.68,20.7,175.6,268.0,Tipo C,bruno,29.84
37.82,-1.0,40.7,141.3,113.6,Tipo C,Bruno,48.9
32.38,5.82,27.6,142.0,115.7,tipo a,,30.2
28.71,4.42,45.0,108.8,211.2,Tipo-B,ana,52.01
38.06,4.08,28.2,120.2,227.8,Tipo C,bruno,43.96
31.68,5.48,38.8,115.5,142.3,Tipo B,Bruno,48.54
32.72,5.66,28.8,148.2,249.0,Tipo B,,46.03
30.39,5.94,20.2,152.9,229.3,Desconhecido,,24.41
33.89,5.78,19.2,194.9,284.7,Tipo B,Desconhecido,35.31
27.45,5.2,27.3,107.3,133.8,,Ana,31.16
30.87,5.06,39.2,160.0,250.3,Tipo-B,bruno,43.28
39.54,4.06,33.8,152.6,116.7,Tipo A,Bruno,37.6
28.87,4.49,36.8,151.6,213.1,Tipo C,Ana,57.57
34.85,4.92,22.2,187.3,210.4,Desconhecido,,42.83
,5.26,29.3,120.6,177.7,Tipo A,Bruno,47.29
,5.11,13.6,104.1,268.9,Tipo-B,Bruno,32.38
26.96,5.49,41.4,167.2,100.9,Desconhecido,Bruno,43.16
39.55,4.56,47.6,134.5,204.0,TIPO C,Desconhecido,60.5
,5.13,26.6,101.8,143.4,Tipo C,Bruno,48.87
28.54,4.18,12.4,125.1,248.7,tipo a,Ana,27.88
26.1,4.83,18.1,130.9,108.6,Tipo C,ana,28.4
27.55,5.5,35.5,161.7,266.3,Tipo C,Bruno,45.88
32.8,5.39,34.0,117.3,267.6,Tipo C,ana,50.04
30.06,5.98,40.4,141.3,266.6,Desconhecido,Carlos,46.71
37.43,4.56,21.1,148.2,130.5,Desconhecido,,35.5
31.46,5.0,39.5,145.9,226.1,Tipo C,bruno,45.45
28.73,4.66,36.8,197.4,102.9,TIPO C,Desconhecido,47.5
34.26,4.88,23.6,104.6,269.6,Tipo C,Carlos,30.87
35.6,5.71,31.6,195.1,244.6,Tipo-B,Carlos,43.07
27.51,5.37,17.3,158.2,206.2,Tipo C,Ana,29.81
27.51,5.76,28.3,179.6,246.1,TIPO C,Ana,33.31
25.55,4.41,43.7,143.0,118.9,,ana,47.5
36.05,5.75,27.2,145.4,205.7,Tipo-B,ana,44.58
,4.12,42.2,187.9,158.3,Tipo C,Desconhecido,58.19
32.12,5.78,33.2,189.6,294.5,Tipo C,Desconhecido,43.72
37.66,4.66,18.9,123.9,271.4,Tipo-B,bruno,33.11
37.09,4.63,32.9,119.9,246.7,Tipo C,Bruno,43.94
33.78,5.02,30.2,9999.0,286.7,TIPO C,Desconhecido,46.66
38.02,5.88,26.4,190.0,169.4,Desconhecido,Desconhecido,37.31
28.09,4.1,16.3,132.2,280.2,,ana,25.06
26.68,4.7,27.0,165.2,165.0,Tipo B,Bruno,38.67
29.05,5.71,14.6,170.8,246.6,Tipo C,bruno,31.5
25.86,4.79,15.6,177.9,247.3,tipo a,,30.71
32.97,4.4,27.0,156.4,103.7,Tipo-B,,38.86
39.05,4.85,23.0,140.2,172.2,TIPO C,Ana,36.32
25.59,4.77,45.3,196.7,103.9,Tipo C,bruno,51.14
26.83,5.83,25.5,161.1,299.4,Tipo C,Bruno,24.06
31.78,5.52,39.3,172.9,124.4,Tipo-B,Ana,55.67
39.01,5.01,31.1,134.5,208.6,Tipo A,Ana,45.85
29.74,5.98,37.3,9999.0,258.1,TIPO C,Ana,55.63
32.61,4.93,21.4,125.8,140.3,TIPO C,bruno,40.67
25.62,4.12,45.9,124.5,197.0,Tipo B,ana,44.36
27.23,4.52,31.1,171.5,221.5,Desconhecido,Bruno,39.18
39.8,4.87,41.9,152.1,132.0,Desconhecido,bruno,47.7
39.48,4.31,25.1,168.3,,Tipo B,bruno,37.73
25.07,5.9,15.6,126.9,159.9,Tipo C,Carlos,17.32
39.28,5.53,36.3,159.9,142.2,Tipo-B,Desconhecido,43.79
34.59,4.54,12.3,144.4,211.7,tipo a,,23.78
38.02,5.18,29.1,159.7,182.1,Tipo C,bruno,47.98
31.82,5.44,18.9,129.1,284.1,Tipo B,Carlos,25.05
32.73,5.88,34.6,171.5,276.0,Tipo C,,56.12
32.33,5.76,47.3,180.6,196.7,Tipo-B,ana,52.7
35.0,5.03,28.7,126.0,171.9,TIPO C,ana,47.77
27.09,5.55,41.4,130.1,165.1,,Bruno,41.89
25.45,5.12,30.3,166.1,153.5,TIPO C,Carlos,43.26
29.62,5.11,29.9,169.6,208.9,TIPO C,bruno,34.04
,4.23,45.5,170.4,261.0,TIPO C,Bruno,47.22
28.03,4.25,44.0,168.3,162.2,Desconhecido,Carlos,54.98
35.1,5.06,40.3,139.3,138.0,tipo a,bruno,49.2
39.55,4.54,22.7,9999.0,195.1,Tipo A,Bruno,37.43
26.41,4.04,31.6,125.5,113.8,Desconhecido,,31.87
35.09,5.45,20.1,115.7,240.3,tipo a,Bruno,30.1
31.66,4.06,28.0,169.3,203.7,,,30.6
38.02,5.19,29.4,109.3,199.3,Tipo C,Desconhecido,39.85
27.66,5.08,41.9,193.8,160.1,Tipo B,ana,51.2
35.39,5.94,44.3,182.7,280.9,,,53.84
37.57,4.97,26.9,185.8,118.1,Tipo-B,bruno,42.42
39.17,4.13,12.6,190.7,274.0,Tipo C,Desconhecido,21.44
35.25,5.1,43.0,140.9,175.3,,Bruno,53.3
32.46,5.68,18.3,184.7,276.1,Tipo A,Bruno,32.23
34.27,5.99,34.4,115.8,245.8,Tipo-B,Carlos,39.03
38.03,4.86,12.9,102.2,120.8,Tipo-B,Desconhecido,22.94
33.56,4.64,26.4,178.5,266.3,Tipo-B,Ana,44.22
25.46,5.81,,107.5,236.4,Tipo C,bruno,39.11
,4.38,15.6,198.9,,Tipo A,ana,27.21
35.34,5.23,27.3,167.5,126.7,Tipo C,,41.47
35.15,4.81,23.1,175.3,227.1,Tipo-B,Desconhecido,36.22
28.24,4.08,44.6,124.6,232.5,Tipo-B,Bruno,50.58
,4.69,43.3,167.4,249.3,Desconhecido,Carlos,54.19
30.91,4.53,20.6,104.3,244.0,Tipo B,bruno,29.4
34.77,5.37,14.9,183.8,231.9,tipo a,ana,24.12
26.6,5.9,34.6,117.0,253.2,,,44.37
34.87,4.54,24.1,169.7,215.0,Tipo C,bruno,37.87
39.99,5.62,36.2,122.4,152.2,Tipo A,Carlos,40.79
25.72,4.11,13.2,106.8,282.5,Desconhecido,Bruno,13.71
39.66,5.08,16.8,148.1,103.6,Tipo-B,,35.59
31.1,4.14,36.7,116.9,173.3,Tipo C,ana,40.19
38.06,5.87,19.6,172.9,245.8,tipo a,Ana,29.99
36.74,5.53,42.9,123.8,185.4,Tipo C,Carlos,57.6
33.51,5.32,14.1,134.2,105.0,,Ana,19.44
36.08,5.65,19.8,156.7,113.2,,Desconhecido,32.78
38.18,5.3,47.9,128.5,229.7,tipo a,bruno,60.79
31.06,5.94,27.6,137.8,293.0,Tipo C,ana,40.43
29.91,5.43,,181.6,,Tipo B,Bruno,40.52
35.01,5.85,18.6,117.9,201.4,Tipo C,Ana,38.27
37.12,5.03,34.0,108.2,163.7,Desconhecido,Bruno,52.29
36.43,4.23,38.1,132.8,151.3,TIPO C,Desconhecido,52.33
,5.06,23.3,142.4,104.2,Tipo B,Ana,33.25
31.53,4.25,41.8,154.3,154.6,tipo a,Bruno,47.65
37.27,5.18,33.7,137.2,189.8,Tipo-B,Bruno,52.42
26.8,-1.0,26.0,9999.0,139.6,Tipo-B,,39.21
33.17,-1.0,32.1,103.9,117.5,,Desconhecido,38.27
25.09,4.02,32.8,143.2,243.5,Tipo C,Carlos,37.87
29.87,4.39,18.0,138.2,278.9,Tipo A,ana,23.8
30.5,4.98,26.5,164.8,287.4,Tipo C,Desconhecido,45.63
,5.9,24.4,196.6,223.6,Tipo B,Ana,36.25
35.43,4.77,26.4,151.0,110.6,Tipo B,Ana,48.21
,4.85,39.4,198.7,248.2,tipo a,bruno,41.14
,5.43,29.4,130.2,122.0,Tipo C,Bruno,34.53
28.56,5.21,45.9,103.1,233.9,tipo a,ana,50.87
30.6,4.6,22.6,116.6,255.9,Tipo A,Ana,46.13
28.41,4.82,27.0,139.5,245.2,Tipo-B,Carlos,38.53
26.1,4.44,40.3,131.6,290.4,Tipo-B,Carlos,42.94
34.05,5.93,31.7,109.7,247.6,Tipo C,Desconhecido,41.05
35.02,4.26,31.7,143.3,238.6,tipo a,Ana,39.72
34.29,4.74,13.9,133.8,152.3,tipo a,ana,34.26
31.95,4.05,26.3,112.3,285.0,Tipo A,ana,40.82
30.7,4.44,21.7,129.6,135.9,tipo a,Ana,41.11
37.95,5.56,48.0,188.6,281.0,TIPO C,,50.63
32.79,4.4,23.1,130.2,162.5,TIPO C,bruno,26.05
32.19,4.16,43.8,171.4,126.0,Tipo B,bruno,49.23
25.38,-1.0,36.3,161.2,265.3,TIPO C,bruno,48.97
,-1.0,24.3,142.7,100.5,,,38.26
30.7,4.17,31.6,123.9,266.4,TIPO C,Ana,41.81
30.98,5.62,42.3,136.9,152.5,Tipo B,Desconhecido,52.84
33.7,5.54,43.8,159.2,276.9,TIPO C,,60.72
33.0,5.83,,9999.0,238.3,TIPO C,ana,27.31
34.12,5.71,24.2,121.5,233.2,Tipo B,Desconhecido,43.87
36.47,5.37,24.1,111.6,173.1,Tipo C,Desconhecido,44.87
37.19,4.1,13.5,188.0,111.9,Desconhecido,,27.01
35.77,5.57,33.5,144.0,266.0,Tipo B,Desconhecido,40.9
39.33,5.69,42.8,162.5,134.2,Tipo B,Carlos,56.63
25.27,5.6,25.7,149.0,174.5,,Ana,44.69
27.94,5.02,38.6,187.3,220.1,TIPO C,Bruno,43.75
25.11,4.47,34.6,154.7,196.5,Tipo-B,Ana,51.49
,5.69,25.5,148.1,139.7,Desconhecido,Desconhecido,32.87
38.47,5.45,17.1,192.5,128.1,TIPO C,Carlos,33.64
28.65,5.96,37.5,172.0,124.6,Tipo C,Carlos,38.06
38.91,4.31,42.8,111.2,272.6,Tipo B,Ana,54.66
,4.45,36.7,117.8,106.3,Tipo A,Bruno,42.4
39.02,4.42,12.6,178.7,295.4,Tipo B,,32.82
30.27,5.59,19.8,183.6,139.7,Desconhecido,,29.86
26.52,4.37,14.5,154.5,122.1,Tipo C,Desconhecido,24.22
32.29,4.13,32.5,155.4,215.4,Desconhecido,Carlos,41.92
28.85,6.0,39.2,163.2,116.0,tipo a,Desconhecido,43.23
29.27,4.05,16.0,143.9,220.5,Desconhecido,Desconhecido,27.75
29.61,5.67,42.2,168.0,270.1,TIPO C,ana,42.61
37.05,-1.0,32.0,110.8,109.6,Tipo-B,Desconhecido,32.3
33.09,5.68,36.8,196.1,,Tipo-B,bruno,49.92
,5.11,47.0,175.0,178.9,TIPO C,ana,56.0
34.16,5.8,15.0,163.1,131.9,,Desconhecido,30.69
35.74,5.85,44.4,131.6,135.2,TIPO C,Desconhecido,53.75
29.09,4.02,16.5,9999.0,283.8,Tipo C,Bruno,25.69
31.2,4.15,26.1,140.9,122.1,,,33.98
26.83,-1.0,42.7,166.2,273.4,Tipo B,ana,47.42
27.72,5.34,,163.4,208.8,,,42.21
35.22,5.78,30.2,138.3,107.8,Tipo A,ana,43.35
27.72,4.92,33.4,161.3,192.9,Tipo B,Bruno,46.81
32.88,5.21,37.5,181.4,263.5,Tipo B,bruno,53.89
35.64,4.38,42.0,102.6,245.2,Tipo A,ana,48.75
26.6,5.61,16.4,145.1,197.8,,bruno,24.73
33.51,5.93,41.2,175.9,272.0,Tipo-B,Desconhecido,47.74
28.85,4.54,29.3,154.6,124.1,,Carlos,36.3
,4.99,28.2,165.1,282.0,Tipo B,Carlos,34.7
32.25,4.17,27.3,151.7,269.3,tipo a,Ana,40.36
37.09,5.12,30.3,199.2,241.7,tipo a,Carlos,50.16
33.25,5.01,46.0,105.5,263.6,Tipo C,Carlos,54.7
,4.29,31.7,9999.0,208.8,Tipo C,Bruno,39.47
34.5,4.88,46.3,109.1,235.0,Desconhecido,Ana,50.99
39.27,4.67,18.5,116.0,212.1,Tipo A,,38.71
,5.04,38.1,138.3,171.1,Tipo A,Ana,47.58
37.29,5.17,41.2,9999.0,213.8,Tipo C,Bruno,45.28
,4.02,36.4,196.4,151.5,TIPO C,Carlos,54.25
28.42,5.52,33.8,194.7,188.1,Tipo B,Carlos,47.03
28.18,5.43,32.3,133.6,156.2,TIPO C,Ana,48.91
34.16,4.73,43.0,164.0,124.6,Tipo-B,Carlos,57.71
31.17,4.11,41.6,153.4,164.4,tipo a,Ana,44.78
37.6,5.51,16.4,181.6,270.4,Tipo A,Carlos,33.42
38.5,5.91,42.5,162.7,176.2,Tipo C,Desconhecido,56.94
30.3,4.48,26.9,100.0,249.6,tipo a,Bruno,31.25
28.55,-1.0,21.1,176.3,135.0,TIPO C,ana,41.88
36.71,4.37,43.3,174.7,,Tipo A,bruno,54.89
29.12,5.15,,151.0,123.0,Tipo A,,42.15
37.34,4.31,41.1,9999.0,127.7,Desconhecido,Desconhecido,53.17
31.36,4.71,21.5,9999.0,223.5,Tipo B,Carlos,36.67
,5.39,12.1,152.4,221.5,Tipo A,bruno,28.06
26.43,5.12,29.8,160.8,142.7,Tipo-B,ana,38.43
34.36,4.77,15.6,199.7,194.9,,Desconhecido,19.91
31.78,4.84,39.2,129.9,272.7,Tipo A,ana,51.45
33.8,5.12,21.9,132.5,134.8,,Bruno,46.15
27.52,4.01,28.0,9999.0,103.8,Tipo-B,bruno,29.99
36.05,4.16,15.1,189.6,230.4,TIPO C,ana,24.65
,5.76,22.3,174.4,110.7,Desconhecido,bruno,44.65
28.25,4.16,40.1,9999.0,296.0,Tipo B,Bruno,47.78
,5.41,17.5,198.2,221.9,Desconhecido,ana,35.93
25.35,5.84,35.3,173.1,194.1,Tipo-B,Desconhecido,44.5
34.63,4.54,45.0,185.1,186.0,TIPO C,bruno,49.87
34.11,4.74,36.5,104.8,214.6,tipo a,,50.67
33.2,5.14,41.2,150.5,118.1,Desconhecido,,47.36
28.48,5.76,15.9,169.9,286.0,Desconhecido,,25.7
30.86,5.88,21.0,154.3,225.1,Tipo A,ana,36.23
33.92,5.48,44.2,166.7,136.8,Desconhecido,Bruno,53.38
32.45,4.17,37.7,181.8,212.5,Tipo C,,49.22
39.82,5.34,35.0,137.4,126.7,Tipo C,ana,49.19
27.05,4.82,35.9,184.9,,Tipo-B,ana,48.39
35.43,4.94,26.9,116.3,226.1,Tipo B,Desconhecido,46.58
31.06,4.1,13.6,127.1,229.7,Tipo-B,Carlos,27.76
31.42,4.38,40.2,104.3,216.7,,Ana,54.32
35.76,5.58,36.4,136.4,136.7,Desconhecido,Carlos,51.91
35.39,4.91,,138.0,220.7,Desconhecido,Carlos,45.94
39.87,4.6,44.4,180.5,111.3,TIPO C,Ana,52.5
26.93,4.77,24.1,165.3,221.8,Desconhecido,ana,40.79
26.56,5.71,22.6,143.7,210.8,TIPO C,Carlos,34.87
35.87,5.5,43.4,165.2,231.1,Desconhecido,Carlos,46.85
,4.54,40.7,105.3,279.1,Desconhecido,Bruno,43.5
29.11,4.24,30.5,118.0,270.1,Tipo-B,Bruno,33.25
26.19,4.5,16.7,162.7,296.1,Tipo-B,Desconhecido,24.27
26.28,5.84,19.7,164.1,295.2,tipo a,bruno,25.95
38.41,5.16,35.6,177.4,254.5,TIPO C,ana,54.07
27.88,5.07,25.9,140.3,291.3,tipo a,,38.07
29.85,5.19,42.1,172.3,273.5,Tipo-B,Desconhecido,55.75
28.4,4.73,46.2,168.4,245.5,Tipo B,Bruno,47.74
30.32,5.61,41.0,196.3,115.1,Tipo A,Bruno,41.27
26.04,5.05,25.6,121.5,109.8,TIPO C,Ana,30.03
32.79,4.23,40.4,155.2,267.5,Tipo C,Ana,52.73
26.01,-1.0,24.7,160.2,197.9,tipo a,,38.04
37.01,5.07,18.0,199.9,262.9,,,35.79
28.51,5.87,13.2,120.1,162.6,TIPO C,Bruno,26.24
33.1,4.62,25.9,152.3,179.5,,Carlos,36.12
,5.74,44.5,134.6,240.0,Tipo A,,50.12
34.76,5.53,20.6,152.6,283.1,tipo a,Desconhecido,38.06
32.99,4.5,19.4,9999.0,117.6,TIPO C,Bruno,35.32
29.87,4.07,46.9,104.8,272.3,tipo a,ana,59.8
30.0,4.2,12.9,157.3,258.6,tipo a,Bruno,22.4
35.04,5.46,40.3,133.6,163.1,Tipo-B,Ana,43.73
39.91,4.4,23.6,118.2,171.0,Desconhecido,Desconhecido,35.52
34.93,4.74,13.3,132.4,109.3,Tipo-B,Desconhecido,31.95
33.37,5.0,45.0,104.9,103.1,tipo a,bruno,61.35
